qty,part,name,colour,ldraw_colour,rebrickable_part,rebrickable_colour,bricklink_part,bricklink_colour,element_id,rare
36,2431,Tile 1 x 4 with Groove,Black,0,2431,0,2431,11,243126,0
10,3003,Brick 2 x 2,Black,0,3003,0,3003,11,4103587,0
127,3004,Brick 1 x 2,Black,0,3004,0,3004,11,300426,0
20,3005,Brick 1 x 1,Black,0,3005,0,3005,11,300526,0
6,3022,Plate 2 x 2,Black,0,3022,0,3022,11,302226,0
29,3023b,Plate 1 x 2,Black,0,3023,0,3023,11,302326,0
56,3024,Plate 1 x 1,Black,0,3024,0,3024,11,302426,0
13,3069b,Tile 1 x 2 with Groove,Black,0,3069b,0,3069b,11,306926,0
15,3070b,Tile 1 x 1 with Groove,Black,0,3070b,0,3070b,11,307026,0
8,32062,Technic Axle 2 Notched,Black,0,32062,0,32062,11,4109810,0
1,32072,Technic Knob Wheel,Black,0,32072,0,32072,11,6284188,0
4,32316,Technic Beam 1 x 5 Thick,Black,0,32316,0,32316,11,4142135,0
93,3666,Plate 1 x 6,Black,0,3666,0,3666,11,366626,0
9,3700,Technic Brick 1 x 2 [1 Pin Hole],Black,0,3700,0,3700,11,370026,0
3,3705,Technic Axle 4,Black,0,3705,0,3705,11,370526,0
2,3706,Technic Axle 6,Black,0,3706,0,3706,11,370626,0
2,3709b,Technic Plate 2 x 4 [3 Holes],Black,0,3709,0,3709,11,370926,0
26,3710,Plate 1 x 4,Black,0,3710,0,3710,11,371026,0
4,3894,Technic Brick 1 x 6 [5 Pin Holes],Black,0,3894,0,3894,11,389426,0
1,3941,Brick Round 2 x 2 with Axle Hole,Black,0,3941,0,3941,11,614376,0
1,3958,Plate 6 x 6,Black,0,3958,0,3958,11,395826,0
1,4716,Technic Worm Gear,Black,0,4716,0,4716,11,6037533,0
1,50451,Technic Axle 16,Black,0,50451,0,50451,11,6317564,0
2,62501c01,"Light Unit, LED with Black Cable, Power Functions",Black,0,61930,0,8870,11,6265462,0
4,6632,Technic Beam 1 x 3 Thin,Black,0,6632,0,6632,11,6331723,0
59,3004,Brick 1 x 2,Coral,353,3004,1050,3004,220,6258572,0
15,3005,Brick 1 x 1,Coral,353,3005,1050,3005,220,6422915,0
37,3023b,Plate 1 x 2,Coral,353,3023,1050,3023,220,6258094,0
2,3024,Plate 1 x 1,Coral,353,3024,1050,3024,220,6258091,0
1,3648b,Technic Gear 24 Tooth [New Style with Single Axle Hole],Dark Bluish Gray,72,3648b,72,3648b,85,6133119,0
4,3941,Brick Round 2 x 2 with Axle Hole,Dark Bluish Gray,72,3941,72,3941,85,4249139,0
3,4032a,Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening),Dark Bluish Gray,72,4032a,72,4032a,85,4211042,0
4,3004,Brick 1 x 2,Dark Red,320,3004,320,3004,59,4539102,0
4,3010,Brick 1 x 4,Dark Red,320,3010,320,3010,59,6097586,0
