qty,part,name,colour,ldraw_colour,rebrickable_part,rebrickable_colour,bricklink_part,bricklink_colour,element_id,rare
2,32828,Plate Special Round 1 x 1 with Hollow Stud and Horizontal Bar 1L,Black,0,32828,0,32828,11,6196548,0
1,3680,"Turntable 2 x 2 Plate, Base",Black,0,3680,0,3680,11,368076,0
2,4740,Dish 2 x 2 Inverted [Radar],Black,0,4740,0,4740,11,474026,0
2,87994,Bar 3L,Black,0,87994,0,87994,11,6185316,0
2,98138,Tile Round 1 x 1,Bright Pink,29,98138,29,98138,104,6284587,0
1,24246,Tile Round 1 x 1 Half Circle,Coral,353,24246,1050,24246,220,6475308,0
2,15068,Brick Curved 2 x 2 x 2/3,Dark Brown,308,15068,308,15068,120,6047037,0
19,3001,Brick 2 x 4,Dark Brown,308,3001,308,3001,120,6353072,0
30,3003,Brick 2 x 2,Dark Brown,308,3003,308,3003,120,6092677,0
35,3004,Brick 1 x 2,Dark Brown,308,3004,308,3004,120,6058257,0
23,3005,Brick 1 x 1,Dark Brown,308,3005,308,3005,120,6226437,0
3,3020,Plate 2 x 4,Dark Brown,308,3020,308,3020,120,6226792,0
12,3022,Plate 2 x 2,Dark Brown,308,3022,308,3022,120,6494115,0
2,3023b,Plate 1 x 2,Dark Brown,308,3023,308,3023,120,6058221,0
32,3024,Plate 1 x 1,Dark Brown,308,3024,308,3024,120,6194729,0
1,3460,Plate 1 x 8,Dark Brown,308,3460,308,3460,120,4519946,0
4,3623,Plate 1 x 3,Dark Brown,308,3623,308,3623,120,6518013,0
2,3666,Plate 1 x 6,Dark Brown,308,3666,308,3666,120,6223039,0
2,3710,Plate 1 x 4,Dark Brown,308,3710,308,3710,120,6252667,0
3,3795,Plate 2 x 6,Dark Brown,308,3795,308,3795,120,4518687,0
40,54200,Brick Sloped 30° 1 x 1 x 2/3 (Cheese Slope),Dark Brown,308,54200,308,54200,120,6259071,0
2,85984,Brick Sloped 30° 1 x 2 x 2/3,Dark Brown,308,85984,308,85984,120,6127366,0
2,22885,Brick Special 1 x 2 x 1 2/3 with 4 Studs on 1 Side,Light Bluish Gray,71,22885,71,22885,86,6123809,0
3,3001,Brick 2 x 4,Light Bluish Gray,71,3001,71,3001,86,4211385,0
6,3004,Brick 1 x 2,Light Bluish Gray,71,3004,71,3004,86,4211388,0
6,3005,Brick 1 x 1,Light Bluish Gray,71,3005,71,3005,86,4211389,0
11,3006,Brick 2 x 10,Light Bluish Gray,71,3006,71,3006,86,4617862,0
5,3007,Brick 2 x 8,Light Bluish Gray,71,3007,71,3007,86,6037399,0
1,3009,Brick 1 x 6,Light Bluish Gray,71,3009,71,3009,86,4211393,0
3,3010,Brick 1 x 4,Light Bluish Gray,71,3010,71,3010,86,4211394,0
3,3622,Brick 1 x 3,Light Bluish Gray,71,3622,71,3622,86,4211428,0
1,3679,Turntable 2 x 2 Plate - Top,Light Bluish Gray,71,3679,71,3679,86,4540203,0
1,3710,Plate 1 x 4,Light Bluish Gray,71,3710,71,3710,86,4211445,0
1,1748,Tile Round 1 x 2 Half Circle,Reddish Brown,70,1748,70,1748,88,6603350,0
56,11477,Brick Curved 2 x 1 No Studs [1/2 Bow],Tan,19,11477,19,11477,2,6046922,0
21,2456,Brick 2 x 6,Tan,19,2456,19,2456,2,4181134,0
14,3001,Brick 2 x 4,Tan,19,3001,19,3001,2,4114319,0
1,3002,Brick 2 x 3,Tan,19,3002,19,3002,2,4159739,0
15,3003,Brick 2 x 2,Tan,19,3003,19,3003,2,4114306,0
40,3004,Brick 1 x 2,Tan,19,3004,19,3004,2,4109995,0
41,3005,Brick 1 x 1,Tan,19,3005,19,3005,2,4113915,0
3,3006,Brick 2 x 10,Tan,19,3006,19,3006,2,6294678,0
4,3007,Brick 2 x 8,Tan,19,3007,19,3007,2,6037398,0
20,3008,Brick 1 x 8,Tan,19,3008,19,3008,2,4159774,0
2,3009,Brick 1 x 6,Tan,19,3009,19,3009,2,4112982,0
15,3010,Brick 1 x 4,Tan,19,3010,19,3010,2,4113916,0
3,3020,Plate 2 x 4,Tan,19,3020,19,3020,2,4114309,0
1,3021,Plate 2 x 3,Tan,19,3021,19,3021,2,4118790,0
25,3023b,Plate 1 x 2,Tan,19,3023,19,3023,2,4113917,0
118,3024,Plate 1 x 1,Tan,19,3024,19,3024,2,4159553,0
22,3070b,Tile 1 x 1 with Groove,Tan,19,3070b,19,3070b,2,4125253,0
2,32828,Plate Special Round 1 x 1 with Hollow Stud and Horizontal Bar 1L,Tan,19,32828,19,32828,2,6286492,0
17,3622,Brick 1 x 3,Tan,19,3622,19,3622,2,4162465,0
7,3710,Plate 1 x 4,Tan,19,3710,19,3710,2,4113233,0
8,3795,Plate 2 x 6,Tan,19,3795,19,3795,2,4113993,0
12,50950,Brick Curved 3 x 1 No Studs,Tan,19,50950,19,50950,2,4625867,0
144,54200,Brick Sloped 30° 1 x 1 x 2/3 (Cheese Slope),Tan,19,54200,19,54200,2,4516055,0
1,11211,Brick Special 1 x 2 with 2 Studs on 1 Side,White,15,11211,15,11211,1,6550150,0
2,15712,Tile Special 1 x 1 with Clip with Rounded Edges,White,15,15712,15,15712,1,6348055,0
1,3001,Brick 2 x 4,White,15,3001,15,3001,1,6552094,0
3,3020,Plate 2 x 4,White,15,3020,15,3020,1,6552098,0
2,3021,Plate 2 x 3,White,15,3021,15,3021,1,6550136,0
2,3022,Plate 2 x 2,White,15,3022,15,3022,1,6552099,0
4,3023b,Plate 1 x 2,White,15,3023,15,3023,1,6552100,0
4,3024,Plate 1 x 1,White,15,3024,15,3024,1,6548262,0
2,3069b,Tile 1 x 2 with Groove,White,15,3069b,15,3069b,1,6548264,0
8,3070b,Tile 1 x 1 with Groove,White,15,3070b,15,3070b,1,6550138,0
1,3666,Plate 1 x 6,White,15,3666,15,3666,1,6552107,0
3,3710,Plate 1 x 4,White,15,3710,15,3710,1,6552108,0
3,3795,Plate 2 x 6,White,15,3795,15,3795,1,6550146,0
2,4740,Dish 2 x 2 Inverted [Radar],White,15,4740,15,4740,1,6601845,0
1,87087,Brick Special 1 x 1 with Stud on 1 Side,White,15,87087,15,87087,1,6550190,0
