elementId,quantity
6196548,2
368076,1
474026,2
6185316,2
6284587,2
6475308,1
6047037,2
6353072,19
6092677,30
6058257,35
6226437,23
6226792,3
6494115,12
6058221,2
6194729,32
4519946,1
6518013,4
6223039,2
6252667,2
4518687,3
6259071,40
6127366,2
6123809,2
4211385,3
4211388,6
4211389,6
4617862,11
6037399,5
4211393,1
4211394,3
4211428,3
4540203,1
4211445,1
6603350,1
6046922,56
4181134,21
4114319,14
4159739,1
4114306,15
4109995,40
4113915,41
6294678,3
6037398,4
4159774,20
4112982,2
4113916,15
4114309,3
4118790,1
4113917,25
4159553,118
4125253,22
6286492,2
4162465,17
4113233,7
4113993,8
4625867,12
4516055,144
6550150,1
6348055,2
6552094,1
6552098,3
6550136,2
6552099,2
6552100,4
6548262,4
6548264,2
6550138,8
6552107,1
6552108,3
6550146,3
6601845,2
6550190,1
