elementId,quantity
6196548,2
368076,1
6542399,1
6284587,2
6475308,1
6123809,2
4211385,3
4211388,6
4211389,6
4617862,11
6037399,5
4211393,1
4211394,3
4211428,3
4540203,1
4211445,1
4585146,2
6550150,1
6552145,56
6552147,2
6348055,2
6552122,21
6552094,34
6550133,1
6552095,45
6548257,75
6552096,64
4617855,3
6619309,4
6550134,20
6552097,2
6550135,15
6552098,9
6550136,3
6552099,14
6552100,31
6548262,154
6548264,2
6550138,30
6550170,2
6550141,1
6550143,17
6552105,4
6552107,3
6552108,12
6550146,14
6601845,2
6548268,12
6550179,184
6550189,2
6550190,1
6552205,2
