elementId,quantity
6196548,2
368076,1
474026,2
6185316,2
6284587,2
6475308,1
6529298,1
6123809,2
4211385,3
4211388,6
4211389,6
4617862,11
6037399,5
4211393,1
4211394,3
4211428,3
4540203,1
4211445,1
6356566,56
6350413,17
6135191,7
6058085,9
4569382,19
6057986,24
6396749,12
6099341,1
6223183,11
6093494,3
6334099,1
6218360,25
6215606,114
6177146,22
6433634,2
6192922,10
6167700,7
6313600,8
6535837,12
6167690,140
6146858,2
4211201,19
4211210,30
4613963,35
4211242,23
4211186,3
4613975,12
4211150,2
4221744,32
4216945,1
4211152,4
4221590,2
4211190,2
4211247,3
4504376,40
6035291,2
4181134,4
4114319,7
4159739,1
4114306,6
4109995,21
4113915,17
6294678,3
6037398,4
4159774,8
4112982,1
4113916,4
4159553,4
4162465,7
4516055,4
6550150,1
6348055,2
6552094,1
6552098,3
6550136,2
6552099,2
6552100,4
6548262,4
6548264,2
6550138,8
6552107,1
6552108,3
6550146,3
6601845,2
6550190,1
