qty,part,name,colour,ldraw_colour,rebrickable_part,rebrickable_colour,bricklink_part,bricklink_colour,element_id,rare
2,11458,Plate Special 1 x 2 with Pin Hole on Top,Black,0,11458,0,11458,11,6114987,0
2,15535,Tile Special Round 2 x 2 with Hole,Black,0,15535,0,15535,11,6143850,0
38,2412b,Tile Special 1 x 2 Grille with Bottom Groove,Black,0,2412b,0,2412b,11,241226,0
14,2431,Tile 1 x 4 with Groove,Black,0,2431,0,2431,11,243126,0
1,26603,Tile 2 x 3,Black,0,26603,0,26603,11,6162892,0
2,2780,Technic Pin with Friction Ridges Lengthwise and Center Slots,Black,0,2780,0,2780,11,4121715,0
2,3008,Brick 1 x 8,Black,0,3008,0,3008,11,300826,0
4,3020,Plate 2 x 4,Black,0,3020,0,3020,11,302026,0
1,3021,Plate 2 x 3,Black,0,3021,0,3021,11,302126,0
48,3023b,Plate 1 x 2,Black,0,3023,0,3023,11,302326,0
12,3024,Plate 1 x 1,Black,0,3024,0,3024,11,302426,0
2,30414,Brick Special 1 x 4 with 4 Studs on One Side,Black,0,30414,0,30414,11,4162443,0
1,3062b,Brick Round 1 x 1 Open Stud,Black,0,3062b,0,3062b,11,306226,0
4,3069b,Tile 1 x 2 with Groove,Black,0,3069b,0,3069b,11,306926,0
7,3070b,Tile 1 x 1 with Groove,Black,0,3070b,0,3070b,11,307026,0
1,32124,"Technic Plate 1 x 5 with Smooth Ends, 4 Studs and Centre Axle Hole",Black,0,32124,0,32124,11,6280168,0
12,3386,Plate Special 1 x 1 x 2/3 Half Round with Side Stud,Black,0,3386,0,3386,11,6424674,0
8,3460,Plate 1 x 8,Black,0,3460,0,3460,11,346026,0
48,3623,Plate 1 x 3,Black,0,3623,0,3623,11,362326,0
12,3666,Plate 1 x 6,Black,0,3666,0,3666,11,366626,0
3,3709b,Technic Plate 2 x 4 [3 Holes],Black,0,3709,0,3709,11,370926,0
24,3710,Plate 1 x 4,Black,0,3710,0,3710,11,371026,0
6,3795,Plate 2 x 6,Black,0,3795,0,3795,11,379526,0
1,3941,Brick Round 2 x 2 with Axle Hole,Black,0,3941,0,3941,11,614376,0
1,4032a,Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening),Black,0,4032a,0,4032a,11,403226,0
2,4162,Tile 1 x 8 with Groove,Black,0,4162,0,4162,11,416226,0
2,42205,Door Frame 1 x 6 x 6,Black,0,42205,0,42205,11,6391342,0
9,4477,Plate 1 x 10,Black,0,4477,0,4477,11,447726,0
6,60479,Plate 1 x 12,Black,0,60479,0,60479,11,4514845,0
1,6141,Plate Round 1 x 1 with Solid Stud,Black,0,6141,0,6141,11,614126,0
21,63864,Tile 1 x 3,Black,0,63864,0,63864,11,4558170,0
2,6541,Technic Brick 1 x 1 with Pin Hole,Black,0,6541,0,6541,11,654126,0
14,6636,Tile 1 x 6 with Groove,Black,0,6636,0,6636,11,663626,0
2,69729,Tile 2 x 6,Black,0,69729,0,69729,11,6318582,0
1,74611,Plate Round 8 x 8,Black,0,74611,0,74611,11,6393938,0
8,79393,"Tile 3 x 3 Curved, Macaroni",Black,0,79393,0,79393,11,6434275,0
2,87079,Tile 2 x 4 with Groove,Black,0,87079,0,87079,11,4560182,0
6,87087,Brick Special 1 x 1 with Stud on 1 Side,Black,0,87087,0,87087,11,4558954,0
5,6141,Plate Round 1 x 1 with Solid Stud,Flat Silver,315,6141,179,6141,95,4633691,0
2,32062,Technic Axle 2 Notched,Red,4,32062,4,32062,5,4142865,0
8,27507,"Tile 4 x 4 Curved, Macaroni",Trans-Clear,47,27507,47,27507,12,6544432,0
2,42509,Glass for Frame 1 x 6 x 6,Trans-Clear,47,42509,47,42509,12,6511024,0
4,2431,Tile 1 x 4 with Groove,White,15,2431,15,2431,1,6548255,0
3,26603,Tile 2 x 3,White,15,26603,15,26603,1,6552162,0
8,27925,"Tile 2 x 2 Curved, Macaroni",White,15,27925,15,27925,1,6550162,0
1,3023b,Plate 1 x 2,White,15,3023,15,3023,1,6552100,0
3,3062b,Brick Round 1 x 1 Open Stud,White,15,3062b,15,3062b,1,6619283,0
2,3070b,Tile 1 x 1 with Groove,White,15,3070b,15,3070b,1,6550138,0
1,3623,Plate 1 x 3,White,15,3623,15,3623,1,6552105,0
2,4032a,Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening),White,15,4032a,15,4032a,1,6601914,0
2,4162,Tile 1 x 8 with Groove,White,15,4162,15,4162,1,6552110,0
3,6141,Plate Round 1 x 1 with Solid Stud,White,15,6141,15,6141,1,6601919,0
3,74611,Plate Round 8 x 8,White,15,74611,15,74611,1,6331510,0
3,87079,Tile 2 x 4 with Groove,White,15,87079,15,87079,1,6548271,0
