elementId,quantity
6114987,2
6143850,2
241226,38
243126,14
6162892,1
4121715,2
300826,2
302026,4
302126,1
302326,48
302426,12
4162443,2
306226,1
306926,4
307026,7
6280168,1
6424674,12
346026,8
362326,48
366626,12
370926,3
371026,24
379526,6
614376,1
403226,1
416226,2
6391342,2
447726,9
4514845,6
614126,1
4558170,21
654126,2
663626,14
6318582,2
6393938,1
6434275,8
4560182,2
4558954,6
4633691,5
4142865,2
6544432,8
6511024,2
6548255,4
6552162,3
6550162,8
6552100,1
6619283,3
6550138,2
6552105,1
6601914,2
6552110,2
6601919,3
6331510,3
6548271,3
