elementId,quantity
6245251,2
241226,4
243126,3
244526,2
6162892,5
300426,4
300526,6
300926,2
302026,2
302126,6
302226,6
302326,12
302426,16
4243819,2
303426,2
4162443,4
306826,3
306926,3
307026,2
346026,15
362226,2
362326,11
366626,8
371026,17
379526,5
383226,1
393726,2
403226,2
416226,12
4124096,2
4558170,3
654126,4
663626,2
6318582,11
6434275,8
6168646,2
4560182,1
4558954,1
6001494,1
6284070,8
6052126,2
4210719,1
4633691,11
4211476,1
4274194,2
4211194,2
6458167,4
6100769,3
6547793,8
6514001,35
6513962,12
6514223,28
6581822,4
6615544,2
6550142,4
6548257,1
6552097,2
6548262,1
4178429,8
6619283,2
6548264,1
6550141,1
6550143,1
6552108,2
6564904,2
6548271,4
