qty,part,name,colour,ldraw_colour,rebrickable_part,rebrickable_colour,bricklink_part,bricklink_colour,element_id,rare
2,2780,Technic Pin with Friction Ridges Lengthwise and Center Slots,Black,0,2780,0,2780,11,4121715,0
1,3070b,Tile 1 x 1 with Groove,Black,0,3070b,0,3070b,11,307026,0
2,3460,Plate 1 x 8,Black,0,3460,0,3460,11,346026,0
1,3623,Plate 1 x 3,Black,0,3623,0,3623,11,362326,0
2,63864,Tile 1 x 3,Black,0,63864,0,63864,11,4558170,0
2,6636,Tile 1 x 6 with Groove,Black,0,6636,0,6636,11,663626,0
1,74611,Plate Round 8 x 8,Black,0,74611,0,74611,11,6393938,0
8,79393,"Tile 3 x 3 Curved, Macaroni",Black,0,79393,0,79393,11,6434275,0
5,6141,Plate Round 1 x 1 with Solid Stud,Flat Silver,315,6141,179,6141,95,4633691,0
4,2431,Tile 1 x 4 with Groove,Light Bluish Gray,71,2431,71,2431,86,4211356,0
3,26603,Tile 2 x 3,Light Bluish Gray,71,26603,71,26603,86,6171894,0
2,3070b,Tile 1 x 1 with Groove,Light Bluish Gray,71,3070b,71,3070b,86,4211415,0
2,4162,Tile 1 x 8 with Groove,Light Bluish Gray,71,4162,71,4162,86,4211481,0
3,87079,Tile 2 x 4 with Groove,Light Bluish Gray,71,87079,71,87079,86,4560183,0
2,32062,Technic Axle 2 Notched,Red,4,32062,4,32062,5,4142865,0
8,27507,"Tile 4 x 4 Curved, Macaroni",Trans-Clear,47,27507,47,27507,12,6544432,0
2,42509,Glass for Frame 1 x 6 x 6,Trans-Clear,47,42509,47,42509,12,6511024,0
2,11458,Plate Special 1 x 2 with Pin Hole on Top,White,15,11458,15,11458,1,6057414,0
2,15535,Tile Special Round 2 x 2 with Hole,White,15,15535,15,15535,1,6310185,0
38,2412b,Tile Special 1 x 2 Grille with Bottom Groove,White,15,2412b,15,2412b,1,6601902,0
14,2431,Tile 1 x 4 with Groove,White,15,2431,15,2431,1,6548255,0
1,26603,Tile 2 x 3,White,15,26603,15,26603,1,6552162,0
8,27925,"Tile 2 x 2 Curved, Macaroni",White,15,27925,15,27925,1,6550162,0
2,3008,Brick 1 x 8,White,15,3008,15,3008,1,6550134,0
4,3020,Plate 2 x 4,White,15,3020,15,3020,1,6552098,0
1,3021,Plate 2 x 3,White,15,3021,15,3021,1,6550136,0
49,3023b,Plate 1 x 2,White,15,3023,15,3023,1,6552100,0
12,3024,Plate 1 x 1,White,15,3024,15,3024,1,6548262,0
2,30414,Brick Special 1 x 4 with 4 Studs on One Side,White,15,30414,15,30414,1,6550167,0
4,3062b,Brick Round 1 x 1 Open Stud,White,15,3062b,15,3062b,1,6619283,0
4,3069b,Tile 1 x 2 with Groove,White,15,3069b,15,3069b,1,6548264,0
6,3070b,Tile 1 x 1 with Groove,White,15,3070b,15,3070b,1,6550138,0
1,32124,"Technic Plate 1 x 5 with Smooth Ends, 4 Studs and Centre Axle Hole",White,15,32124,15,32124,1,6280386,0
12,3386,Plate Special 1 x 1 x 2/3 Half Round with Side Stud,White,15,3386,15,3386,1,6552210,0
6,3460,Plate 1 x 8,White,15,3460,15,3460,1,6550141,0
48,3623,Plate 1 x 3,White,15,3623,15,3623,1,6552105,0
12,3666,Plate 1 x 6,White,15,3666,15,3666,1,6552107,0
3,3709b,Technic Plate 2 x 4 [3 Holes],White,15,3709,15,3709,1,370901,0
24,3710,Plate 1 x 4,White,15,3710,15,3710,1,6552108,0
6,3795,Plate 2 x 6,White,15,3795,15,3795,1,6550146,0
1,3941,Brick Round 2 x 2 with Axle Hole,White,15,3941,15,3941,1,6601920,0
3,4032a,Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening),White,15,4032a,15,4032a,1,6601914,0
2,4162,Tile 1 x 8 with Groove,White,15,4162,15,4162,1,6552110,0
2,42205,Door Frame 1 x 6 x 6,White,15,42205,15,42205,1,6256127,0
9,4477,Plate 1 x 10,White,15,4477,15,4477,1,6552113,0
6,60479,Plate 1 x 12,White,15,60479,15,60479,1,6552130,0
4,6141,Plate Round 1 x 1 with Solid Stud,White,15,6141,15,6141,1,6601919,0
19,63864,Tile 1 x 3,White,15,63864,15,63864,1,6552134,0
2,6541,Technic Brick 1 x 1 with Pin Hole,White,15,6541,15,6541,1,6609542,0
12,6636,Tile 1 x 6 with Groove,White,15,6636,15,6636,1,6548296,0
2,69729,Tile 2 x 6,White,15,69729,15,69729,1,6552183,0
3,74611,Plate Round 8 x 8,White,15,74611,15,74611,1,6331510,0
2,87079,Tile 2 x 4 with Groove,White,15,87079,15,87079,1,6548271,0
6,87087,Brick Special 1 x 1 with Stud on 1 Side,White,15,87087,15,87087,1,6550190,0
