qty,part,name,colour,ldraw_colour,rebrickable_part,rebrickable_colour,bricklink_part,bricklink_colour,element_id,rare
37,2431,Tile 1 x 4 with Groove,Black,0,2431,0,2431,11,243126,0
10,3003,Brick 2 x 2,Black,0,3003,0,3003,11,4103587,0
158,3004,Brick 1 x 2,Black,0,3004,0,3004,11,300426,0
24,3005,Brick 1 x 1,Black,0,3005,0,3005,11,300526,0
10,3022,Plate 2 x 2,Black,0,3022,0,3022,11,302226,0
62,3023b,Plate 1 x 2,Black,0,3023,0,3023,11,302326,0
90,3024,Plate 1 x 1,Black,0,3024,0,3024,11,302426,0
7,3062b,Brick Round 1 x 1 Open Stud,Black,0,3062b,0,3062b,11,306226,0
10,3069b,Tile 1 x 2 with Groove,Black,0,3069b,0,3069b,11,306926,0
16,3070b,Tile 1 x 1 with Groove,Black,0,3070b,0,3070b,11,307026,0
8,32062,Technic Axle 2 Notched,Black,0,32062,0,32062,11,4109810,0
4,32316,Technic Beam 1 x 5 Thick,Black,0,32316,0,32316,11,4142135,0
143,3666,Plate 1 x 6,Black,0,3666,0,3666,11,366626,0
8,3700,Technic Brick 1 x 2 [1 Pin Hole],Black,0,3700,0,3700,11,370026,0
4,3701,Technic Brick 1 x 4 [3 Pin Holes],Black,0,3701,0,3701,11,370126,0
4,3705,Technic Axle 4,Black,0,3705,0,3705,11,370526,0
42,3710,Plate 1 x 4,Black,0,3710,0,3710,11,371026,0
2,3941,Brick Round 2 x 2 with Axle Hole,Black,0,3941,0,3941,11,614376,0
1,3958,Plate 6 x 6,Black,0,3958,0,3958,11,395826,0
1,4032a,Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening),Black,0,4032a,0,4032a,11,403226,0
1,50451,Technic Axle 16,Black,0,50451,0,50451,11,6317564,0
4,6141,Plate Round 1 x 1 with Solid Stud,Black,0,6141,0,6141,11,614126,0
2,62501c01,"Light Unit, LED with Black Cable, Power Functions",Black,0,61930,0,8870,11,6265462,0
4,6632,Technic Beam 1 x 3 Thin,Black,0,6632,0,6632,11,6331723,0
4,85544,Technic Rubber Belt Medium [24mm ID] [Round Cross Section],Blue,1,85544,1,85544,7,,1
60,3004,Brick 1 x 2,Coral,353,3004,1050,3004,220,6258572,0
16,3005,Brick 1 x 1,Coral,353,3005,1050,3005,220,6422915,0
38,3023b,Plate 1 x 2,Coral,353,3023,1050,3023,220,6258094,0
2,3020,Plate 2 x 4,Dark Bluish Gray,72,3020,72,3020,85,4211065,0
6,3700,Technic Brick 1 x 2 [1 Pin Hole],Dark Bluish Gray,72,3700,72,3700,85,4211111,0
4,2431,Tile 1 x 4 with Groove,Dark Red,320,2431,320,2431,59,4539060,0
4,3004,Brick 1 x 2,Dark Red,320,3004,320,3004,59,4539102,0
4,3010,Brick 1 x 4,Dark Red,320,3010,320,3010,59,6097586,0
44,3023b,Plate 1 x 2,Dark Red,320,3023,320,3023,59,4539097,0
82,3024,Plate 1 x 1,Dark Red,320,3024,320,3024,59,4539114,0
105,3666,Plate 1 x 6,Dark Red,320,3666,320,3666,59,4539062,0
34,3710,Plate 1 x 4,Dark Red,320,3710,320,3710,59,4539061,0
4,60474,Plate Round 4 x 4 with Pin Hole,Dark Red,320,60474,320,60474,59,6614381,0
4,32123b,Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced,Light Bluish Gray,71,32123b,71,32123b,86,6271165,0
6,3673,Technic Pin without Friction Ridges Lengthwise,Light Bluish Gray,71,3673,71,3673,86,4211807,0
4,4519,Technic Axle 3,Light Bluish Gray,71,4519,71,4519,86,4211815,0
1,64228,"Battery Box, Power Functions, with Dark Bluish Gray Bottom [Non-Rechargeable]",Light Bluish Gray,71,64228,71,64228,86,6197414,1
32,11833,Plate Round 4 x 4 with 2 x 2 Round Opening,Trans-Clear,47,11833,47,11833,12,6507890,0
72,3005,Brick 1 x 1,Trans-Light Blue,43,3005,41,3005,15,6514210,0
