qty,part,name,colour,ldraw_colour,rebrickable_part,rebrickable_colour,bricklink_part,bricklink_colour,element_id,rare
2,22385,Tile Special 2 x 3 Pentagonal,Black,0,22385,0,22385,11,6245251,0
4,2412b,Tile Special 1 x 2 Grille with Bottom Groove,Black,0,2412b,0,2412b,11,241226,0
3,2431,Tile 1 x 4 with Groove,Black,0,2431,0,2431,11,243126,0
2,2445,Plate 2 x 12,Black,0,2445,0,2445,11,244526,0
5,26603,Tile 2 x 3,Black,0,26603,0,26603,11,6162892,0
4,3004,Brick 1 x 2,Black,0,3004,0,3004,11,300426,0
6,3005,Brick 1 x 1,Black,0,3005,0,3005,11,300526,0
2,3009,Brick 1 x 6,Black,0,3009,0,3009,11,300926,0
2,3020,Plate 2 x 4,Black,0,3020,0,3020,11,302026,0
6,3021,Plate 2 x 3,Black,0,3021,0,3021,11,302126,0
6,3022,Plate 2 x 2,Black,0,3022,0,3022,11,302226,0
12,3023b,Plate 1 x 2,Black,0,3023,0,3023,11,302326,0
16,3024,Plate 1 x 1,Black,0,3024,0,3024,11,302426,0
2,3031,Plate 4 x 4,Black,0,3031,0,3031,11,4243819,0
2,3034,Plate 2 x 8,Black,0,3034,0,3034,11,303426,0
4,30414,Brick Special 1 x 4 with 4 Studs on One Side,Black,0,30414,0,30414,11,4162443,0
3,3068b,Tile 2 x 2 with Groove,Black,0,3068b,0,3068b,11,306826,0
3,3069b,Tile 1 x 2 with Groove,Black,0,3069b,0,3069b,11,306926,0
2,3070b,Tile 1 x 1 with Groove,Black,0,3070b,0,3070b,11,307026,0
15,3460,Plate 1 x 8,Black,0,3460,0,3460,11,346026,0
2,3622,Brick 1 x 3,Black,0,3622,0,3622,11,362226,0
11,3623,Plate 1 x 3,Black,0,3623,0,3623,11,362326,0
8,3666,Plate 1 x 6,Black,0,3666,0,3666,11,366626,0
17,3710,Plate 1 x 4,Black,0,3710,0,3710,11,371026,0
5,3795,Plate 2 x 6,Black,0,3795,0,3795,11,379526,0
1,3832,Plate 2 x 10,Black,0,3832,0,3832,11,383226,0
2,3937,Hinge Brick 1 x 2 Base,Black,0,3937,0,3937,11,393726,0
2,4032a,Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening),Black,0,4032a,0,4032a,11,403226,0
12,4162,Tile 1 x 8 with Groove,Black,0,4162,0,4162,11,416226,0
2,6134,Hinge Brick 2 x 2 Top Plate Thin,Black,0,6134,0,6134,11,4124096,0
3,63864,Tile 1 x 3,Black,0,63864,0,63864,11,4558170,0
4,6541,Technic Brick 1 x 1 with Pin Hole,Black,0,6541,0,6541,11,654126,0
2,6636,Tile 1 x 6 with Groove,Black,0,6636,0,6636,11,663626,0
11,69729,Tile 2 x 6,Black,0,69729,0,69729,11,6318582,0
8,79393,"Tile 3 x 3 Curved, Macaroni",Black,0,79393,0,79393,11,6434275,0
2,85861,Plate Round 1 x 1 with Open Stud,Black,0,85861,0,85861,11,6168646,0
1,87079,Tile 2 x 4 with Groove,Black,0,87079,0,87079,11,4560182,0
1,87087,Brick Special 1 x 1 with Stud on 1 Side,Black,0,87087,0,87087,11,4558954,0
1,91988,Plate 2 x 14,Black,0,91988,0,91988,11,6001494,0
8,98138,Tile Round 1 x 1,Black,0,98138,0,98138,11,6284070,0
2,99206,Plate Special 2 x 2 x 2/3 with Two Studs On Side and Two Raised [Solid Anti-stud],Black,0,99206,0,99206,11,6052126,0
1,3024,Plate 1 x 1,Dark Bluish Gray,72,3024,72,3024,85,4210719,0
11,6141,Plate Round 1 x 1 with Solid Stud,Flat Silver,315,6141,179,6141,95,4633691,0
1,4070,Brick Special 1 x 1 with Headlight,Light Bluish Gray,71,4070,71,4070,86,4211476,0
2,4274,Technic Pin 1/2 without Friction Ridges,Light Bluish Gray,71,4274,71,4274,86,4274194,0
2,2431,Tile 1 x 4 with Groove,Reddish Brown,70,2431,70,2431,88,4211194,0
4,27507,"Tile 4 x 4 Curved, Macaroni",Reddish Brown,70,27507,70,27507,88,6458167,0
3,63864,Tile 1 x 3,Reddish Brown,70,63864,70,63864,88,6100769,0
8,79393,"Tile 3 x 3 Curved, Macaroni",Reddish Brown,70,79393,70,79393,88,6547793,0
35,3023b,Plate 1 x 2,Trans-Brown,40,3023,40,3023,,6514006,0
12,3024,Plate 1 x 1,Trans-Brown,40,3024,40,3024,,6513960,0
28,3069b,Tile 1 x 2 with Groove,Trans-Brown,40,3069b,40,3069b,,6514222,0
4,3070b,Tile 1 x 1 with Groove,Trans-Brown,40,3070b,40,3070b,,6514259,0
2,11833,Plate Round 4 x 4 with 2 x 2 Round Opening,White,15,11833,15,11833,1,6615544,0
4,27507,"Tile 4 x 4 Curved, Macaroni",White,15,27507,15,27507,1,6550142,0
1,3004,Brick 1 x 2,White,15,3004,15,3004,1,6548257,0
2,3009,Brick 1 x 6,White,15,3009,15,3009,1,6552097,0
1,3024,Plate 1 x 1,White,15,3024,15,3024,1,6548262,0
8,30565,Plate Round Corner 4 x 4,White,15,30565,15,30565,1,4178429,0
2,3062b,Brick Round 1 x 1 Open Stud,White,15,3062b,15,3062b,1,6619283,0
1,3069b,Tile 1 x 2 with Groove,White,15,3069b,15,3069b,1,6548264,0
1,3460,Plate 1 x 8,White,15,3460,15,3460,1,6550141,0
1,3622,Brick 1 x 3,White,15,3622,15,3622,1,6550143,0
2,3710,Plate 1 x 4,White,15,3710,15,3710,1,6552108,0
2,60474,Plate Round 4 x 4 with Pin Hole,White,15,60474,15,60474,1,6564904,0
4,87079,Tile 2 x 4 with Groove,White,15,87079,15,87079,1,6548271,0
